Blog	four	here	want	how	re	than	best	never	and	much	life	things	had	has	right	old	people	for	time	team	love	working	such	data	so	years	internet	one	say	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	full	more	its	always	really	number	also	into	set	see	last	let	great	d	be	by	up	us	video	next	this	high	doing	could	should	ve	site	off	does	monday	work	after	then	them	they	another	just	do	we	com	the	night	post	months	way	was	live	can	still	not	now	year	care	that	online	only	between	these	media	real	read	early	using	t	business	your	lot	you	very	a	help	actually	since	pretty	during	x	probably	both	look	while	game	some	doesn	e	go	need	she	i	well	twitter	home	he	even	new	tell	before	better	don	m	bad	said	appeared	three	is	it	in	if	make	down	me	did	making	may	man	talk	thing	think	first	long	little	were	especially	show	get	according	those	same	money	again	public	two	through	hard	most	find	big	bit	back	ll	day	have	taking	like	about	but	under	would	my	times	over	each	got	free	days	top	too	took	news	been	donald	no	when	company	says	today	trump	any	come	good	week	blog	on	of	or	there	all	what	might	story	his	him	are	because	once	use	from	few	something	our	out	their	which	who	why	will	other	know	own	made
Daily Kos	5	27	9	30	14	21	5	7	323	15	14	7	35	51	15	4	23	155	21	3	0	10	7	0	44	10	0	36	10	8	19	16	9	244	0	19	8	17	23	103	65	97	72	354	5	1	43	11	6	9	3	18	24	3	10	22	14	13	6	71	95	32	12	5	11	74	6	6	15	13	12	2	7	14	8	10	22	12	13	60	14	32	23	54	4	808	4	11	9	10	107	4	27	16	67	33	13	4	233	2	19	12	14	21	3	11	5	4	62	3	15	6	55	6	332	11	9	18	4	14	2	6	11	5	19	1	20	9	4	7	8	21	69	10	6	3	78	22	47	4	13	5	9	10	10	27	2	9	155	147	272	30	9	9	7	8	6	10	9	9	8	14	30	10	4	15	6	12	17	7	20	13	15	7	1	11	11	4	22	6	17	5	12	8	18	59	4	26	69	79	5	29	22	13	21	7	5	4	9	13	4	9	15	34	63	26	38	4	13	13	191	12	7	12	23	0	105	392	38	33	33	54	13	5	83	21	77	19	5	2	72	13	11	33	34	58	22	51	9	38	23	10	14	16
Kotaku	0	2	3	3	0	0	4	0	22	1	7	2	1	7	0	5	2	16	2	1	1	0	1	0	2	3	3	7	0	1	2	0	1	30	0	2	0	3	0	12	7	3	6	31	1	1	25	1	0	1	0	0	4	0	0	3	2	1	3	1	1	2	4	6	1	1	2	1	0	1	2	0	3	2	1	0	1	1	3	1	1	0	1	6	2	74	0	0	2	3	6	1	6	0	3	4	4	0	15	1	1	0	0	1	1	24	2	0	2	0	1	0	11	2	37	0	0	2	0	0	0	1	0	0	0	11	6	0	2	7	2	0	7	2	1	0	5	1	8	0	3	1	1	0	1	1	0	1	19	19	21	3	0	1	4	1	1	1	3	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	3	1	2	2	6	1	2	3	2	0	0	4	0	2	0	0	0	0	1	2	3	2	3	2	4	5	1	2	6	2	2	0	3	1	0	26	36	7	2	4	5	0	1	6	1	3	0	0	1	7	0	0	7	1	1	1	2	2	4	0	0	2	2
Derek Powazek	0	6	1	7	7	2	1	3	70	1	5	1	3	5	4	2	2	33	4	0	1	0	0	0	7	5	1	13	3	1	4	0	1	43	2	0	1	3	9	17	5	10	7	52	0	1	6	1	4	2	1	2	4	0	3	7	1	5	2	7	5	11	4	0	1	9	1	1	1	1	11	2	1	0	0	3	4	7	2	6	3	11	7	7	1	97	2	3	2	0	13	2	8	4	6	10	4	0	19	2	1	4	2	2	0	0	1	1	10	1	6	1	19	1	62	0	0	1	0	0	0	1	2	0	1	0	3	0	0	4	1	7	69	2	1	0	5	1	5	0	1	0	4	12	3	3	0	4	17	39	35	9	1	2	15	4	0	0	1	3	4	4	3	1	7	2	2	3	6	0	1	3	3	2	0	9	1	3	2	1	1	0	2	4	2	3	1	9	9	14	1	0	22	1	5	1	1	0	4	2	2	3	1	8	0	2	11	1	0	2	0	0	3	1	3	1	14	39	5	7	10	9	1	3	3	2	11	3	2	0	5	5	8	3	9	4	2	1	1	5	3	6	2	2
Jeremy Zawodny's blog	1	6	3	8	5	4	2	3	132	4	1	5	17	7	5	0	6	39	23	3	0	4	3	4	23	8	2	20	6	3	8	8	3	29	5	4	3	1	1	24	5	21	24	155	0	3	14	0	1	12	2	7	9	4	10	2	0	2	13	25	8	24	28	0	5	20	6	2	13	6	7	1	5	3	0	6	11	16	7	26	4	9	6	62	0	269	2	2	0	13	65	0	16	4	9	5	2	0	88	0	7	2	1	1	1	3	0	4	22	4	13	7	36	16	141	5	1	7	1	2	3	6	4	0	6	0	22	1	0	9	5	2	111	7	1	1	9	4	8	0	12	2	1	6	0	2	3	1	29	70	63	18	4	25	17	7	1	5	0	3	3	3	13	10	2	24	2	0	16	0	2	3	0	0	2	6	2	5	8	2	0	11	16	8	8	23	1	17	15	25	0	8	21	3	9	5	8	1	0	4	5	6	0	6	0	5	16	2	0	3	0	2	1	6	4	3	53	101	23	19	12	15	2	0	10	4	12	6	1	10	15	13	7	22	8	13	9	5	5	12	8	5	0	7
Captain's Quarters	0	0	0	1	0	2	1	0	12	0	0	0	3	7	0	0	0	8	1	0	1	0	0	0	0	2	0	2	0	1	0	0	0	4	0	0	0	1	1	4	1	4	5	22	1	0	3	3	0	0	0	2	2	0	0	0	0	0	0	4	4	1	3	0	1	1	0	0	0	2	0	1	1	0	1	1	3	0	0	2	1	0	0	1	0	50	0	1	2	0	1	0	1	1	3	0	0	2	9	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	20	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	3	1	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	2	14	1	0	2	2	3	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	2	0	2	2	0	0	3	1	1	1	2	0	1	1	1	0	0	0	1	0	1	2	0	1	2	0	0	2	0	0	0	0	1	1	14	20	0	0	0	0	0	4	6	1	0	0	1	1	3	1	0	0	4	6	0	1	0	5	2	0	0	0
blog maverick	0	1	1	1	0	3	1	0	14	0	0	0	1	1	1	0	1	5	6	0	1	0	0	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	2	1	1	1	18	0	1	2	0	0	0	0	0	1	1	0	0	1	0	0	1	4	1	4	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	3	2	0	1	4	8	3	43	0	0	0	0	3	2	2	1	2	1	3	0	9	0	0	0	0	2	2	0	0	0	4	0	1	1	5	2	22	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	11	1	0	0	2	1	1	2	0	0	3	0	0	0	0	0	8	9	12	2	0	0	2	0	0	1	0	1	0	0	1	4	0	3	0	0	1	0	0	1	0	1	4	0	1	0	1	4	0	0	2	0	2	6	0	2	3	0	1	4	4	0	2	0	1	0	1	0	0	2	2	2	1	2	1	1	0	0	1	0	0	0	2	0	10	18	4	3	2	2	0	0	0	0	3	0	0	1	4	0	1	3	2	0	1	1	1	1	1	1	0	0
plasticbag.org	0	1	0	1	2	0	0	0	15	1	1	1	1	1	1	0	4	10	3	0	0	1	0	0	1	2	0	2	0	2	5	0	2	7	0	2	0	0	0	6	0	5	6	15	0	0	10	1	0	0	2	0	1	0	0	3	0	1	1	5	1	2	2	0	0	3	0	1	3	2	3	0	0	0	0	0	0	0	3	1	1	0	1	4	0	25	0	1	1	1	3	0	1	0	0	1	1	0	3	1	0	0	2	1	0	6	0	0	5	0	1	0	3	1	13	0	1	0	2	0	0	0	0	1	1	0	6	1	0	0	1	0	16	0	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	11	8	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	2	0	2	1	0	1	0	1	1	3	0	2	4	1	0	0	3	0	2	0	0	0	1	0	1	1	1	2	0	0	0	2	0	0	0	1	0	0	0	2	11	18	1	2	6	0	0	1	1	0	4	0	0	0	2	1	1	0	1	0	3	1	0	2	0	2	0	1
Autoblog	2	1	0	4	1	1	3	2	22	3	3	0	0	3	1	1	0	57	2	1	1	3	0	0	0	1	0	1	0	4	0	1	0	30	3	0	2	2	0	5	2	0	10	25	0	0	3	7	0	0	1	2	6	0	39	1	0	0	0	7	0	11	1	9	4	48	1	1	0	0	1	0	0	1	0	1	9	0	0	0	0	0	0	1	0	25	0	0	0	0	2	2	2	0	1	3	0	0	10	0	1	0	0	0	4	1	0	0	7	0	1	1	5	0	48	0	0	0	3	1	7	0	0	0	3	0	2	0	6	3	4	0	4	0	0	0	2	0	13	0	0	1	2	0	0	1	39	1	7	9	22	0	1	0	0	0	3	6	3	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	5	0	0	0	3	0	1	1	2	1	1	0	8	0	4	41	0	2	0	0	0	0	4	1	1	0	0	3	0	0	3	0	2	3	0	0	0	1	3	1	0	94	56	2	1	0	1	0	0	0	0	4	0	1	39	7	0	1	40	0	1	0	0	0	7	4	1	0	3
Gawker	0	2	0	2	2	1	2	0	29	6	0	0	2	7	1	0	1	10	0	0	0	0	2	0	2	1	1	5	1	1	1	1	2	25	2	1	0	1	4	5	4	4	14	37	2	0	28	0	1	3	1	1	0	2	2	3	0	0	2	4	2	3	3	0	1	6	1	0	5	1	1	2	3	0	6	0	2	2	5	2	1	1	1	5	2	52	1	3	1	0	5	0	3	1	3	1	0	0	16	1	1	0	1	1	4	25	1	0	7	1	2	0	8	2	38	0	2	1	2	0	0	0	0	0	0	2	4	0	0	2	0	6	3	1	0	0	10	0	12	1	2	2	2	0	6	4	0	1	14	13	27	0	0	1	0	0	0	1	2	0	2	1	0	0	0	4	0	1	3	4	0	1	0	1	3	3	0	1	1	0	1	0	0	1	4	7	0	3	8	6	0	3	2	0	1	0	0	0	0	0	0	1	9	3	14	2	2	0	1	4	18	2	2	2	3	0	10	33	4	2	7	4	0	0	9	3	3	3	0	1	3	2	1	4	1	4	1	5	0	4	1	0	2	1
Google Blogoscoped	0	2	2	5	5	1	4	1	40	4	0	1	3	1	1	0	3	16	4	0	2	2	0	0	7	1	0	13	0	1	2	1	0	15	0	0	2	1	0	6	5	12	7	36	2	2	4	1	2	0	5	2	3	1	4	0	2	0	2	4	4	3	1	0	1	7	0	2	1	0	4	4	0	0	0	1	0	3	4	7	2	6	3	12	0	71	0	2	0	1	6	1	10	0	5	4	0	0	13	1	2	0	1	0	0	2	0	4	11	0	8	0	36	1	43	0	2	0	0	0	1	2	2	1	1	2	3	0	0	1	2	0	18	2	0	1	2	4	8	0	0	0	4	2	0	2	0	0	10	14	23	8	3	1	4	1	0	1	0	0	1	0	2	1	0	1	1	1	5	0	3	1	0	0	0	3	1	0	3	3	0	0	3	6	3	5	0	6	9	10	0	11	7	1	1	3	0	2	0	1	2	1	1	4	0	6	4	0	1	1	0	3	1	0	0	1	17	34	7	5	5	6	0	0	1	0	6	5	1	3	7	1	2	3	2	4	5	5	0	1	4	2	0	2
Deadspin	0	2	1	2	0	2	4	2	24	5	0	0	1	5	1	2	1	11	3	2	0	0	0	0	0	1	0	3	1	0	2	0	0	19	1	1	0	0	7	9	4	4	6	31	0	2	28	0	1	1	1	4	4	0	2	3	0	1	1	4	0	5	3	0	0	3	1	0	3	5	2	0	3	0	1	0	5	1	2	4	2	2	0	4	1	70	5	0	2	1	9	0	2	1	1	3	4	0	15	1	0	2	1	0	1	25	0	1	11	0	2	1	6	0	25	0	0	4	2	3	0	2	0	0	3	3	3	1	0	1	1	0	11	0	1	0	6	2	5	0	2	2	0	2	3	0	1	2	10	9	20	0	0	1	0	2	0	0	3	0	0	2	6	0	0	2	0	0	1	2	1	0	1	0	0	2	0	0	1	0	0	0	0	1	2	8	0	2	0	3	1	1	6	0	4	0	1	0	0	0	0	1	0	4	4	2	1	0	1	2	5	3	0	0	1	3	11	39	3	3	6	2	0	0	6	2	4	1	0	1	5	0	2	6	7	2	0	3	1	1	1	3	0	2
TMZ.com	0	0	0	0	1	1	0	2	13	0	1	1	0	6	3	3	0	14	0	7	2	0	1	0	1	0	0	2	0	1	1	1	0	30	3	0	0	2	5	10	3	0	4	27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	1	4	0	6	0	1	0	0	0	0	0	0	2	0	3	2	3	0	0	1	1	4	0	3	0	50	0	0	1	0	12	1	2	2	6	3	1	0	2	0	1	1	0	0	3	0	0	0	7	0	0	4	0	0	28	0	1	0	0	1	0	0	1	2	1	0	2	0	0	3	1	6	10	0	0	2	13	0	1	2	1	0	2	3	1	2	0	0	7	9	20	3	1	1	1	3	0	0	1	2	1	0	2	0	0	2	0	0	1	0	1	0	0	3	0	0	0	1	0	0	2	0	0	4	1	1	0	1	1	4	0	1	4	0	4	0	4	0	0	0	1	1	2	1	2	2	2	0	6	0	2	0	1	0	0	0	7	16	0	2	0	1	1	0	13	2	5	2	0	0	3	0	0	0	11	0	4	4	1	0	0	1	0	0
kottke.org	0	11	5	22	6	12	6	6	165	4	5	17	5	19	4	5	13	77	12	0	5	4	2	4	14	13	11	16	2	2	7	9	11	88	2	4	3	15	4	51	26	34	28	168	4	3	29	9	3	5	3	17	14	7	10	7	4	5	1	30	22	17	4	36	2	40	2	2	4	5	16	1	7	4	0	7	5	2	16	34	3	13	13	21	1	354	2	1	1	7	39	0	23	3	20	6	12	1	63	2	5	3	8	2	5	2	1	5	25	0	6	5	36	7	179	2	4	5	3	3	5	0	1	7	4	8	13	1	1	5	4	2	103	6	3	0	19	10	27	3	4	6	5	8	0	8	1	2	81	76	124	11	12	9	11	5	4	6	6	2	4	4	9	2	4	11	2	7	5	2	8	2	1	2	6	5	8	1	10	2	1	3	12	2	6	20	0	16	37	37	2	17	30	2	6	5	1	1	3	4	2	1	0	13	0	11	12	3	5	0	0	2	5	10	4	0	58	211	36	14	13	23	8	1	26	7	31	4	6	6	31	7	7	0	17	19	19	16	2	7	9	8	4	8
O'Reilly Radar	10	0	0	0	3	0	0	0	6	0	0	1	1	4	1	0	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	7	0	0	1	0	0	2	3	1	2	13	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	3	1	0	2	0	0	0	0	0	0	0	2	1	0	1	0	0	1	2	3	22	0	0	0	1	0	0	1	0	0	2	0	0	10	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	10	7	4	1	0	0	2	0	1	7	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	10	1	1	6	1	0	2	0	0	2	1	0	0	6	0	0	0	0	2	0	1	0	1	0	0	1	0
ReadWrite	0	1	1	1	0	0	0	1	16	0	0	3	0	4	0	0	3	6	1	0	1	0	1	8	0	0	3	3	0	1	1	0	2	10	0	0	0	0	0	7	3	3	4	27	0	0	12	1	0	0	0	1	4	0	1	0	0	0	0	7	3	2	0	0	1	2	0	0	3	0	0	0	0	0	1	2	2	0	0	0	0	1	0	6	0	52	0	10	0	2	0	0	5	0	1	0	0	0	8	0	0	0	2	0	0	10	0	0	0	0	6	2	1	1	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	1	2	0	0	0	1	10	0	9	7	6	0	3	2	0	0	1	1	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	1	2	0	3	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	0	0	0	1	0	20	18	3	0	2	2	0	0	0	0	3	0	0	0	4	0	0	5	0	1	3	0	0	4	0	1	0	0
Lifehack	0	2	4	6	1	2	1	0	15	2	5	6	0	0	0	0	4	8	0	0	3	0	1	0	0	0	0	2	0	1	0	3	3	10	0	0	0	2	0	3	4	5	7	17	3	0	3	0	0	3	0	0	1	1	0	0	0	2	0	4	2	2	1	0	0	5	0	2	1	2	0	0	1	4	0	1	1	1	2	4	0	0	0	4	0	43	0	20	0	0	0	0	15	0	1	0	0	0	10	2	0	2	7	0	2	5	0	0	7	2	22	1	27	0	22	3	0	0	0	2	0	0	0	1	0	0	0	2	3	4	0	0	2	0	0	0	0	1	0	0	3	2	0	2	0	1	20	0	3	5	3	2	4	0	0	0	3	3	3	0	1	1	20	1	2	0	0	2	5	0	0	0	3	0	0	1	1	0	3	0	0	0	2	0	1	6	0	2	2	0	0	1	0	0	5	1	0	2	2	0	0	0	0	1	0	2	8	0	0	0	0	0	0	1	0	0	22	15	2	3	4	1	0	0	0	0	8	0	0	0	1	0	0	2	0	7	0	4	5	8	1	2	0	0
Lifehacker	1	2	2	3	7	2	6	1	20	2	0	2	1	5	1	1	1	13	6	1	0	1	0	0	5	1	0	3	0	1	1	0	1	17	0	1	1	2	0	13	6	3	2	48	0	2	28	3	2	0	0	1	1	3	0	2	1	2	0	4	2	4	0	0	1	9	1	2	1	2	2	0	4	0	1	1	0	0	2	4	2	3	3	5	0	43	0	0	2	4	5	0	8	2	5	2	0	0	6	0	0	0	2	0	1	25	0	0	6	1	32	4	30	1	38	3	0	2	3	0	0	0	0	0	1	2	5	0	0	4	2	0	4	0	0	5	2	3	3	0	3	0	3	1	1	0	0	1	12	27	20	8	6	0	0	0	0	0	0	0	0	1	3	1	2	2	2	1	2	2	1	1	3	0	0	4	0	2	5	0	1	1	0	1	1	8	3	6	4	12	1	0	3	0	6	0	0	3	1	0	0	2	1	2	2	1	6	0	0	1	2	0	0	0	1	0	14	24	8	1	4	1	2	0	2	0	4	0	1	1	6	1	2	0	2	1	2	0	2	3	1	1	1	2
Valleywag	0	4	1	3	3	2	0	0	35	3	1	1	1	4	1	0	6	13	1	0	1	2	0	0	6	1	0	5	0	1	2	0	0	31	0	1	2	1	7	3	3	3	14	40	2	1	29	9	0	1	0	3	3	2	0	4	1	0	2	9	11	5	0	0	0	9	1	0	2	0	2	5	3	1	0	4	5	1	4	1	1	3	2	2	7	65	0	2	1	2	9	0	3	0	3	2	2	0	17	0	3	0	0	1	2	25	0	0	4	2	4	0	13	2	46	1	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	7	2	5	1	6	0	2	0	0	0	1	1	0	0	15	14	26	9	2	2	0	4	0	5	4	0	2	0	1	2	0	3	0	2	2	2	1	2	5	1	1	0	1	0	0	1	0	0	1	0	3	3	2	5	5	8	0	3	0	1	9	1	2	0	0	3	0	0	5	6	0	6	1	8	1	2	0	0	0	0	1	1	9	32	4	1	4	2	1	1	3	1	6	1	1	1	7	2	2	1	3	7	3	4	1	5	0	0	0	1
Boing Boing	2	6	3	6	2	4	0	2	88	3	2	3	7	11	2	3	7	35	2	0	2	1	3	2	4	3	3	4	4	2	1	5	1	35	1	3	2	3	7	24	16	13	16	95	2	5	17	2	1	2	0	2	6	4	2	2	3	0	1	8	24	10	2	2	4	21	4	1	5	1	5	0	7	2	0	2	8	7	2	8	2	5	3	4	2	172	0	0	0	3	17	1	13	2	6	7	6	2	31	0	4	0	4	0	3	2	1	3	15	5	12	0	24	5	91	4	3	2	0	1	6	0	1	1	7	0	1	2	0	1	6	7	27	3	1	3	19	5	9	0	5	2	4	1	0	11	0	0	32	23	57	7	4	0	2	3	4	1	8	1	1	1	4	3	0	3	2	3	6	2	1	1	0	2	0	2	2	1	3	1	2	0	2	6	1	7	1	12	5	11	1	1	7	1	6	4	0	2	1	1	0	2	1	6	4	7	6	0	1	0	8	2	1	1	2	0	21	82	13	4	12	4	0	0	5	2	6	6	0	6	22	3	3	1	15	9	9	8	0	7	6	7	5	1
WIRED	0	0	0	5	0	1	0	2	6	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	6	0	0	0	1	0	0	3	0	2	7	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	2	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	0	1	2	32	0	10	0	2	2	0	5	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	13	0	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	10	0	1	4	6	2	2	2	0	0	0	2	0	0	0	0	11	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
Gizmodo	1	4	0	7	1	5	5	1	20	9	2	1	0	2	2	1	3	15	2	0	0	0	0	0	6	2	0	11	1	0	0	0	3	23	1	1	1	2	0	8	8	2	8	44	0	2	27	0	0	3	1	0	1	0	2	1	0	1	3	5	4	5	8	2	0	12	1	0	5	1	4	0	2	0	1	1	3	3	3	2	0	4	2	4	2	64	1	0	1	0	10	1	3	2	2	2	3	0	25	1	4	0	0	0	2	26	0	0	6	0	4	1	11	0	33	1	2	2	3	0	0	3	0	1	1	0	5	1	1	3	0	0	11	4	2	0	8	0	8	0	1	7	3	2	3	0	0	2	18	16	13	3	2	0	6	0	0	0	1	0	0	1	3	0	0	0	0	2	2	3	0	0	0	0	1	0	0	1	5	1	0	0	0	0	0	11	1	3	6	4	1	3	5	0	2	0	2	0	0	1	0	1	2	6	4	1	1	0	1	2	5	4	0	1	0	2	19	41	5	2	10	6	1	0	5	1	6	1	0	2	3	1	0	6	5	2	1	3	2	2	1	2	2	4
Oilman	0	0	1	3	2	0	0	1	17	3	1	0	2	2	0	1	4	3	1	0	2	0	0	0	4	1	0	2	0	1	0	0	2	8	0	1	1	0	0	0	0	3	2	15	2	0	2	0	0	5	0	1	1	1	3	1	1	0	0	2	5	4	0	0	0	3	1	0	1	0	2	2	1	0	0	1	0	0	0	1	0	2	0	5	1	21	0	2	2	1	1	0	1	0	2	3	1	0	6	2	1	0	0	0	0	0	0	1	3	0	0	1	4	0	13	0	1	0	0	0	2	0	1	0	0	0	3	2	0	0	2	0	24	2	4	0	0	1	3	0	0	0	1	1	0	0	0	0	6	17	9	1	0	1	5	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	4	0	2	3	2	0	2	6	0	1	0	0	0	2	0	4	0	1	2	0	1	1	0	1	2	0	1	0	2	1	2	5	9	2	0	1	3	2	1	0	0	1	0	0	1	2	1	0	1	1	1	0	0	3	0	0	2	1	0
Guy Kawasaki	1	1	1	10	1	2	0	0	19	0	0	0	0	1	0	0	2	8	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	11	2	0	0	0	0	3	2	1	3	26	0	0	1	0	0	0	0	2	1	0	1	0	0	0	1	1	2	1	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	6	0	0	38	0	12	0	0	1	0	0	0	2	0	0	0	6	2	2	0	1	1	3	0	1	0	3	0	3	0	6	0	29	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	4	0	0	10	0	7	8	9	3	0	0	1	0	0	2	1	0	0	0	10	0	0	3	1	0	0	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	3	2	0	3	2	1	0	0	3	1	0	0	0	0	2	0	2	0	0	0	0	0	2	4	0	0	0	1	0	1	0	0	12	14	3	6	2	0	0	0	0	3	8	3	2	1	3	0	0	0	0	3	0	2	4	1	1	0	1	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	2	1	0	1	0	5	0	2	1	0	0	0	0	2	4	2	0	0	0	0	0	1	0	0	3	0	1	2	0	0	7	0	0	3	1	0	2	2	1	3	11	0	0	0	0	3	1	1	0	0	0	1	1	0	0	1	1	3	2	0	0	1	2	1	1	0	0	0	0	0	1	0	3	0	0	0	4	0	0	1	7	0	23	0	0	0	1	0	0	2	0	1	1	0	1	6	1	0	0	1	0	0	0	0	0	4	1	2	0	5	2	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	2	0	0	0	2	0	0	0	1	0	2	0	0	1	0	2	8	6	2	4	0	1	1	0	1	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	2	0	0	6	10	3	0	0	5	0	1	1	0	4	1	0	1	3	0	0	2	0	0	0	2	0	1	0	0	0	1
