Blog	four	here	want	how	re	than	best	never	and	much	life	things	had	has	right	old	people	for	time	team	love	working	such	data	so	years	internet	one	say	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	full	more	its	always	really	number	also	into	set	see	last	let	great	d	be	by	up	us	video	next	this	high	doing	could	should	ve	site	off	does	monday	work	after	then	them	they	another	just	do	we	com	the	night	post	months	way	was	live	can	still	not	now	year	care	that	online	only	between	these	media	real	read	early	using	t	business	your	lot	you	very	a	help	actually	since	pretty	during	x	probably	both	look	while	game	some	doesn	e	go	need	she	i	well	twitter	home	he	even	new	tell	before	better	don	m	bad	said	appeared	three	is	it	in	if	make	down	me	did	making	may	man	talk	thing	think	first	long	little	were	especially	show	get	according	those	same	money	again	public	two	through	hard	most	find	big	bit	back	ll	day	have	taking	like	about	but	under	would	my	times	over	each	got	free	days	top	too	took	news	been	donald	no	when	company	says	today	trump	any	come	good	week	blog	on	of	or	there	all	what	might	story	his	him	are	because	once	use	from	few	something	our	out	their	which	who	why	will	other	know	own	made
Slashdot	2	1	1	3	4	7	0	0	59	1	1	0	3	11	0	0	8	41	1	1	0	0	4	3	2	5	6	5	1	2	0	2	4	40	2	1	3	2	0	23	17	16	29	73	0	1	26	9	0	3	2	2	5	1	2	2	2	3	5	15	20	4	4	1	2	27	3	1	2	2	0	1	2	1	3	1	2	5	2	11	0	2	1	6	0	170	0	0	0	1	4	0	13	1	6	1	2	1	43	3	5	2	2	1	0	15	1	5	10	0	3	0	7	0	66	3	1	0	0	3	0	1	2	0	5	3	4	2	0	4	3	0	3	0	0	0	3	4	7	1	0	0	2	0	0	16	0	5	29	23	38	4	1	0	0	0	2	4	0	0	0	1	1	1	1	6	0	0	3	6	0	0	2	0	1	1	0	1	2	1	1	0	1	0	1	7	1	1	4	9	2	2	0	2	8	1	0	4	1	2	1	0	3	2	0	0	8	6	6	2	0	5	0	0	2	1	23	90	5	5	6	1	0	15	0	0	14	1	0	3	25	0	1	1	7	14	4	1	1	6	3	1	4	3
Matt Cutts: Gadgets, Google, and SEO	0	1	0	0	3	0	0	0	13	1	0	0	0	2	0	0	3	8	1	1	0	1	1	0	1	2	0	2	0	1	0	0	1	7	0	0	1	2	0	5	2	2	5	14	0	2	2	0	1	1	0	2	0	0	1	3	0	1	1	0	0	0	0	1	2	4	0	0	1	1	4	0	1	0	0	1	1	0	2	1	1	3	0	3	0	25	0	0	0	1	5	0	3	1	0	3	3	0	15	1	0	0	1	1	0	1	2	0	1	0	5	0	10	0	23	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	0	0	21	0	0	0	3	0	0	2	0	1	0	0	0	0	0	1	2	6	3	1	2	0	1	2	1	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	3	2	1	3	6	2	0	1	6	0	2	1	0	0	2	0	1	1	1	2	0	1	0	0	0	1	0	0	0	1	0	3	6	17	4	0	0	1	0	0	0	0	3	0	0	0	5	0	0	0	1	1	0	1	0	0	0	0	0	0
Gothamist	0	4	0	1	5	2	1	0	74	1	0	2	1	4	1	5	3	22	1	1	2	0	0	1	0	3	1	4	1	0	1	2	1	36	3	2	4	5	1	14	7	8	25	57	0	0	49	4	0	1	2	6	2	0	0	6	0	2	2	7	7	7	9	3	0	14	3	0	4	0	1	2	2	0	3	1	5	3	1	4	0	4	1	5	0	124	7	3	0	1	10	1	7	1	0	8	7	0	15	0	2	1	1	1	1	0	5	0	9	0	5	0	16	0	63	1	0	0	0	0	2	0	1	2	4	3	7	0	0	2	0	2	3	0	4	5	4	1	11	0	1	0	3	5	0	1	1	2	18	8	41	2	1	1	0	1	1	1	15	0	0	3	6	2	0	6	0	4	4	1	1	2	1	2	2	4	0	0	0	2	3	0	4	1	4	6	2	8	4	3	1	5	0	3	9	0	1	2	2	4	2	3	2	2	1	1	7	0	1	6	6	0	0	0	7	0	37	40	1	3	5	5	1	2	10	3	15	2	2	2	11	0	0	1	11	8	4	7	2	7	1	1	0	3
Joho the Blog	2	3	2	3	1	0	1	1	13	1	0	0	1	1	0	0	0	4	0	0	0	1	0	0	2	0	0	2	0	2	2	1	0	10	0	0	0	0	1	2	3	0	3	14	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	3	2	1	6	2	0	4	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	4	0	3	0	52	0	10	0	1	2	0	6	0	2	5	0	0	4	0	0	2	0	7	0	0	0	0	2	0	0	0	6	2	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	11	0	0	0	1	0	1	0	2	2	0	2	0	0	10	0	7	7	8	1	4	0	2	0	3	1	1	2	0	1	12	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	0	1	0	0	1	1	1	0	1	0	4	0	0	6	1	0	1	1	0	2	0	0	0	3	0	1	3	0	0	1	0	5	0	0	2	1	10	17	19	0	2	2	0	0	0	3	0	5	0	0	0	4	0	0	2	1	1	1	4	5	1	2	2	0	0
ongoing by Tim Bray	0	2	1	0	10	1	0	0	32	0	1	0	3	1	1	1	0	12	0	1	0	0	0	0	5	1	1	3	1	1	0	3	0	16	0	0	0	0	3	6	6	2	3	22	0	0	5	3	2	1	0	0	0	1	2	0	0	1	2	9	4	0	1	5	0	9	0	0	0	2	2	0	1	3	0	4	0	1	0	4	1	5	2	5	6	45	0	2	0	1	5	0	2	1	3	2	2	2	13	0	0	0	1	0	1	3	0	0	4	0	3	1	6	1	29	1	0	1	0	0	0	0	1	2	1	0	7	2	2	1	1	2	32	0	0	1	1	0	4	0	0	0	1	6	1	3	0	5	14	23	24	1	0	0	2	0	0	0	0	2	5	1	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	2	5	0	1	8	4	0	0	7	3	0	1	2	1	1	0	1	0	0	3	0	2	3	0	1	0	0	2	0	2	0	0	9	20	8	5	3	5	4	0	0	0	2	1	0	3	4	1	1	1	3	0	2	1	0	1	1	1	0	0
Neil Gaiman's Journal	7	34	16	34	17	14	8	16	675	38	13	55	72	30	17	18	65	169	42	3	11	4	8	0	60	20	5	50	15	12	37	14	13	201	8	10	13	24	21	118	72	78	87	463	3	5	37	9	8	29	1	15	27	9	17	29	11	7	36	114	70	42	50	1	15	95	5	25	31	18	31	4	10	5	2	15	13	18	39	71	7	16	40	189	29	975	16	10	14	19	168	4	50	17	70	29	43	3	221	11	24	13	15	6	5	24	3	7	83	0	24	9	198	27	422	12	19	7	8	1	0	10	8	11	17	1	37	7	7	16	14	34	422	14	6	6	89	20	76	6	26	6	12	62	4	35	0	15	134	352	310	53	26	6	87	20	9	12	5	9	21	15	29	23	9	58	6	11	34	0	5	5	16	7	7	20	10	5	11	11	5	11	35	29	21	81	3	61	105	78	2	44	72	2	24	14	16	7	20	5	21	5	6	44	0	16	59	0	3	6	0	15	11	37	15	16	163	382	89	53	58	60	7	13	54	44	78	33	5	10	99	19	20	31	65	23	47	53	15	50	21	16	6	19
Joel on Software	5	9	28	20	47	15	6	7	222	8	1	15	11	18	9	3	44	67	12	12	3	5	2	1	57	5	9	17	3	6	14	8	6	58	0	5	12	11	0	52	22	32	32	290	0	4	21	3	5	18	7	4	13	4	9	3	10	26	5	46	16	37	14	0	4	47	1	3	13	5	4	6	6	4	0	18	4	8	24	74	1	30	31	135	3	339	0	4	3	20	35	5	50	9	23	21	5	3	163	3	6	1	9	0	2	4	3	15	67	9	31	12	175	9	222	10	13	9	5	1	0	2	11	5	9	1	23	10	0	13	15	0	52	11	2	1	1	18	22	3	4	11	22	7	4	3	1	8	106	99	103	32	22	4	14	4	6	4	0	0	7	10	16	4	13	11	1	2	31	0	13	5	18	3	6	8	2	5	12	10	12	10	5	13	2	51	1	23	26	36	1	13	10	1	9	6	9	12	4	4	7	2	3	9	0	5	21	10	2	10	0	17	5	6	0	5	66	188	41	22	42	25	18	2	0	1	52	18	2	13	22	9	11	34	24	21	26	18	9	21	16	14	9	4
Steve Pavlina	3	2	1	6	3	2	1	0	22	1	5	0	2	0	0	0	32	43	2	0	1	0	2	0	9	2	0	6	1	3	0	3	3	11	0	2	1	0	0	6	4	4	2	31	0	0	3	0	0	2	0	2	1	0	4	5	1	0	2	6	2	8	1	0	3	16	0	4	1	1	3	3	2	2	1	0	1	2	1	8	2	3	5	9	1	68	0	20	0	1	3	2	4	0	2	4	2	2	11	1	0	0	1	0	0	0	6	0	4	2	22	1	22	1	31	0	0	2	0	3	0	2	0	0	1	0	6	0	0	0	1	0	19	1	0	0	1	0	4	0	2	0	1	3	0	0	20	3	20	27	19	9	3	0	1	0	0	6	0	0	0	0	23	3	0	1	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	2	0	5	5	10	2	4	6	2	0	2	4	0	0	4	0	0	0	0	1	0	0	4	0	1	3	0	0	4	0	0	0	1	2	0	29	27	2	0	11	2	0	1	2	0	4	2	0	1	5	0	0	2	2	3	2	2	1	6	0	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	0	2	2	0	0	16	0	0	0	4	1	0	0	0	5	1	0	0	0	0	0	2	1	0	2	0	1	0	0	0	17	0	0	1	0	0	0	1	5	3	20	1	0	24	2	0	0	0	1	1	0	1	0	0	0	5	0	1	0	0	0	1	4	0	0	4	0	1	0	1	0	0	0	2	0	0	2	0	1	1	1	0	48	2	2	0	0	6	0	3	0	2	1	1	0	4	0	0	0	0	0	0	10	0	0	5	0	0	0	5	2	17	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	2	2	1	0	0	1	2	1	1	1	0	1	6	5	28	3	0	1	0	0	1	0	1	0	1	0	6	0	0	7	2	0	1	0	1	1	0	1	0	0	0	0	3	0	0	0	3	0	0	6	1	3	2	4	0	1	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	0	2	0	0	19	15	2	0	1	4	0	0	5	1	2	0	0	0	3	0	0	0	0	1	0	4	0	1	1	1	0	4
Search Engine Watch	0	0	0	1	1	0	0	0	9	1	0	0	1	0	2	0	1	6	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	1	1	0	1	1	0	0	10	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	19	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	2	0	6	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	1	7	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	6	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	2	0	0	0	6	0	0	1	0	0	0	0	1	4	2	10	1	1	1	5	2	0	0	0	3	0	0	0	3	0	0	2	1	0	0	0	0	4	0	1	0	0
