Blog	here	want	how	re	than	best	never	and	much	life	things	had	has	right	old	people	for	time	team	love	such	so	years	internet	one	say	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	full	more	its	always	really	number	also	into	set	see	last	great	d	be	by	up	us	video	next	this	doing	could	should	ve	site	off	does	work	after	then	them	they	another	just	do	we	com	the	night	post	months	way	was	live	can	still	not	now	year	that	only	between	these	real	read	early	t	business	your	lot	you	very	a	help	actually	since	pretty	probably	both	look	while	game	some	doesn	go	need	she	i	well	he	even	new	before	better	don	m	said	appeared	three	is	it	in	if	make	down	me	did	making	may	man	talk	thing	think	first	long	little	were	show	get	according	those	same	money	again	two	through	most	find	big	back	ll	day	have	like	about	but	would	my	over	each	got	free	days	top	too	took	news	been	donald	no	when	company	says	today	trump	any	good	week	blog	on	of	or	there	all	what	might	story	his	him	are	because	use	from	few	something	our	out	their	which	who	why	will	other	know	own	made
Matt Cutts: Gadgets, Google, and SEO	1	0	0	3	0	0	0	13	1	0	0	0	2	0	0	3	8	1	1	0	1	1	2	0	2	0	1	0	0	1	7	0	0	1	2	0	5	2	2	5	14	0	2	2	0	1	1	0	2	0	0	1	3	1	1	0	0	0	0	1	2	4	0	1	1	4	0	1	0	1	1	0	2	1	1	3	0	3	0	25	0	0	0	1	5	0	3	1	0	3	3	15	0	0	1	0	1	2	3	0	5	0	10	0	23	0	0	0	1	0	0	0	0	0	2	0	2	0	0	21	0	3	0	0	0	1	0	0	0	0	1	2	6	3	1	2	0	1	2	1	0	0	2	0	0	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	3	2	3	6	2	1	6	2	1	0	0	2	0	1	1	1	2	0	1	0	0	0	1	0	0	1	0	3	6	17	4	0	0	1	0	0	0	0	3	0	0	5	0	0	0	1	1	0	1	0	0	0	0	0	0
Gothamist	4	0	1	5	2	1	0	74	1	0	2	1	4	1	5	3	22	1	1	2	0	0	3	1	4	1	0	1	2	1	36	3	2	4	5	1	14	7	8	25	57	0	0	49	4	0	1	2	6	2	0	0	6	2	2	7	7	7	9	3	0	14	0	4	0	1	2	2	0	1	5	3	1	4	0	4	1	5	0	124	7	3	0	1	10	1	7	1	0	8	7	15	2	1	1	1	0	5	9	0	5	0	16	0	63	1	0	0	0	0	1	2	4	3	7	0	2	0	2	3	0	4	1	11	1	0	3	5	1	1	2	18	8	41	2	1	1	0	1	1	1	15	0	0	3	6	2	0	6	4	4	1	1	2	1	2	4	0	0	2	3	4	1	4	6	8	4	3	5	0	9	0	1	2	2	4	2	3	2	2	1	1	7	0	1	6	6	0	0	7	0	37	40	1	3	5	5	1	2	10	3	15	2	2	11	0	0	1	11	8	4	7	2	7	1	1	0	3
Joho the Blog	3	2	3	1	0	1	1	13	1	0	0	1	1	0	0	0	4	0	0	0	0	2	0	0	2	0	2	2	1	0	11	0	0	0	0	1	2	3	0	3	14	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	2	1	6	2	0	4	0	1	0	1	0	0	1	0	0	0	0	1	0	4	0	3	0	52	0	10	0	1	2	0	6	0	2	5	0	4	0	2	0	0	0	0	2	0	0	0	6	2	22	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11	0	1	0	1	2	2	0	2	0	10	0	7	7	8	1	4	0	2	0	3	1	1	2	0	1	12	0	0	0	0	0	0	1	0	0	1	0	1	3	0	1	0	1	1	1	1	0	4	0	6	0	1	1	0	2	0	0	0	3	0	1	3	0	0	1	0	5	0	2	1	10	17	19	0	2	2	0	0	0	3	0	5	0	0	4	0	0	2	1	1	1	4	5	1	2	2	0	0
ongoing by Tim Bray	2	1	0	10	1	0	0	32	0	1	0	3	1	1	1	0	12	0	1	0	0	5	1	1	3	1	1	0	3	0	16	0	0	0	0	3	6	6	2	3	22	0	0	5	3	2	1	0	0	0	1	2	0	1	2	9	4	0	1	5	0	9	0	0	2	2	0	1	3	4	0	1	0	4	1	5	2	5	6	45	0	2	0	1	5	0	2	1	3	2	2	13	0	0	1	1	3	0	4	0	3	1	6	1	29	1	0	1	0	0	1	2	1	0	7	2	1	1	2	32	0	1	0	4	0	0	1	6	3	0	5	14	23	24	1	0	0	2	0	0	0	0	2	5	1	1	0	0	1	0	3	0	0	0	0	0	0	0	1	2	2	0	0	2	5	1	8	4	0	7	0	1	2	1	1	0	1	0	0	3	0	2	3	0	1	0	0	2	2	0	0	9	20	8	5	3	5	4	0	0	0	2	1	3	4	1	1	1	3	0	2	1	0	1	1	1	0	0
Neil Gaiman's Journal	34	16	34	17	14	8	16	675	38	13	55	72	30	17	18	65	169	42	3	11	8	60	20	5	50	15	12	37	14	13	201	8	10	13	24	21	118	72	78	87	463	3	5	37	9	8	29	1	15	27	9	17	29	7	36	114	71	42	51	1	15	95	25	31	18	31	4	10	5	15	13	18	39	71	7	16	40	189	29	975	16	10	14	19	168	4	50	17	70	29	43	221	24	13	15	5	24	3	83	0	24	9	198	27	422	12	19	7	8	10	8	11	17	1	37	7	16	14	34	422	14	89	20	76	26	6	12	62	35	0	15	134	352	310	53	26	6	87	20	9	12	5	9	21	15	29	23	9	58	11	34	0	5	5	16	7	20	10	11	11	5	35	29	21	81	61	105	78	44	72	24	14	16	7	20	5	21	5	6	44	0	16	59	0	3	6	0	15	37	15	16	163	383	89	53	58	60	7	13	54	44	78	33	10	99	19	20	31	65	23	47	53	15	50	21	16	6	19
Joel on Software	9	28	20	47	15	6	7	222	8	1	15	11	18	9	3	44	67	12	12	3	2	57	5	9	17	3	6	14	8	6	58	0	5	12	11	0	52	22	32	32	290	0	4	21	3	5	18	7	4	13	4	9	3	26	5	46	16	37	14	0	4	47	3	13	5	4	6	6	4	18	4	8	24	74	1	30	31	135	3	339	0	4	3	20	35	5	50	9	23	21	5	163	6	1	9	2	4	3	67	9	31	12	175	9	222	10	13	9	5	2	11	5	9	1	23	10	13	15	0	52	11	1	18	22	4	11	22	7	3	1	8	106	99	103	32	22	4	14	4	6	4	0	0	7	10	16	4	13	11	2	31	0	13	5	18	3	8	2	12	10	12	5	13	2	51	23	26	36	13	10	9	6	9	12	4	4	7	2	3	9	0	5	21	10	2	10	0	17	6	0	5	66	188	41	22	42	25	18	2	0	1	52	18	13	22	9	11	34	24	21	26	18	9	21	16	14	9	4
Steve Pavlina	2	1	6	3	2	1	0	22	1	5	0	2	0	0	0	32	43	2	0	1	2	9	2	0	6	1	3	0	3	3	11	0	2	1	0	0	6	4	4	2	31	0	0	3	0	0	2	0	2	1	0	4	5	0	2	6	2	8	1	0	3	16	4	1	1	3	3	2	2	0	1	2	1	8	2	3	5	9	1	68	0	20	0	1	3	2	4	0	2	4	2	11	0	0	1	0	0	6	4	2	22	1	22	1	31	0	0	2	0	2	0	0	1	0	6	0	0	1	0	19	1	1	0	4	2	0	1	3	0	20	3	20	27	19	9	3	0	1	0	0	6	0	0	0	0	23	3	0	1	0	1	0	0	0	0	0	0	3	3	0	0	0	5	5	10	4	6	2	2	4	0	4	0	0	0	0	1	0	0	4	0	1	3	0	0	4	0	0	1	2	0	29	27	2	0	11	2	0	1	2	0	4	2	1	5	0	0	2	2	3	2	2	1	6	0	0	0	0
The Full Feed from HuffingtonPost.com	0	0	0	2	2	0	0	16	0	0	0	4	1	0	0	0	5	1	0	0	0	2	1	0	2	0	1	0	0	0	17	0	0	1	0	0	0	1	5	3	20	1	0	24	2	0	0	0	1	1	0	1	0	0	5	0	1	0	0	0	1	4	0	4	0	1	0	1	0	0	2	0	0	2	0	1	1	1	0	48	2	2	0	0	6	0	3	0	2	1	1	4	0	0	0	0	10	0	5	0	0	0	5	2	17	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	2	2	1	0	1	2	1	1	0	1	6	5	28	3	0	1	0	0	1	0	1	0	1	0	6	0	0	7	0	1	0	1	1	0	1	0	0	3	0	0	3	0	0	6	3	2	4	1	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	2	0	0	19	15	2	0	1	4	0	0	5	1	2	0	0	3	0	0	0	0	1	0	4	0	1	1	1	0	4
Search Engine Watch	0	0	1	1	0	0	0	9	1	0	0	1	0	2	0	1	6	2	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	1	1	0	1	1	0	0	10	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0	19	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	2	0	6	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	1	0	0	1	1	7	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	0	1	2	0	2	0	0	0	6	0	0	1	0	0	0	1	4	2	10	1	1	1	5	2	0	0	0	3	0	0	3	0	0	2	1	0	0	0	0	4	0	1	0	0
Daily Kos	27	9	30	14	21	5	7	323	15	14	7	35	51	15	4	23	155	21	3	0	7	44	10	0	36	10	8	19	16	9	245	0	19	8	17	23	103	65	97	72	354	5	1	43	11	6	9	3	18	24	3	10	22	13	6	71	95	32	12	5	11	75	6	15	13	12	2	7	14	10	22	12	13	60	14	32	23	54	4	809	4	11	9	10	107	4	27	16	67	33	13	233	19	12	14	3	11	5	62	3	15	6	55	6	332	11	9	18	4	6	11	5	19	1	20	9	7	8	21	69	10	78	22	47	13	5	9	10	27	2	9	155	148	272	30	9	9	7	8	6	10	9	9	8	14	30	10	4	15	12	17	7	20	13	15	7	11	11	22	6	17	12	8	18	59	26	69	79	29	22	21	7	5	4	9	13	4	9	15	34	63	26	38	4	13	13	191	12	12	24	0	105	392	38	33	33	54	13	5	83	21	77	19	2	72	13	11	33	34	58	22	51	9	38	23	10	14	16
Kotaku	2	3	3	0	0	4	0	22	1	7	2	1	7	0	5	2	16	2	1	1	1	2	3	3	7	0	1	2	0	1	30	0	2	0	3	0	12	7	3	6	31	1	1	25	1	0	1	0	0	4	0	0	3	1	3	1	1	2	4	6	1	1	1	0	1	2	0	3	2	0	1	1	3	1	1	0	1	6	2	74	0	0	2	3	6	1	6	0	3	4	4	15	1	0	0	1	24	2	2	0	1	0	11	2	37	0	0	2	0	1	0	0	0	11	6	0	7	2	0	7	2	5	1	8	3	1	1	0	1	0	1	19	19	21	3	0	1	4	1	1	1	3	0	0	1	4	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	1	2	2	6	2	3	2	0	4	2	0	0	0	0	1	2	3	2	3	2	4	5	1	2	6	2	2	3	1	0	26	36	7	2	4	5	0	1	6	1	3	0	1	7	0	0	7	1	1	1	2	2	4	0	0	2	2
Derek Powazek	6	1	7	7	2	1	3	70	1	5	1	3	5	4	2	2	33	4	0	1	0	7	5	1	13	3	1	4	0	1	43	2	0	1	3	9	17	5	10	7	52	0	1	6	1	4	2	1	2	4	0	3	7	5	2	7	5	11	4	0	1	9	1	1	1	11	2	1	0	3	4	7	2	6	3	11	7	7	1	97	2	3	2	0	13	2	8	4	6	10	4	19	1	4	2	0	0	1	10	1	6	1	19	1	62	0	0	1	0	1	2	0	1	0	3	0	4	1	7	69	2	5	1	5	1	0	4	12	3	0	4	17	39	35	9	1	2	15	4	0	0	1	3	4	4	3	1	7	2	3	6	0	1	3	3	2	9	1	2	1	1	2	4	2	3	9	9	14	0	22	5	1	1	0	4	2	2	3	1	8	0	2	11	1	0	2	0	0	1	3	1	14	39	5	7	10	9	1	3	3	2	11	3	0	5	5	8	3	9	4	2	1	1	5	3	6	2	2
Jeremy Zawodny's blog	6	3	8	5	4	2	3	132	4	1	5	17	7	5	0	6	39	23	3	0	3	23	8	2	20	6	3	8	8	3	29	5	4	3	1	1	24	5	21	24	155	0	3	14	0	1	12	2	7	9	4	10	2	2	13	25	8	24	28	0	5	20	2	13	6	7	1	5	3	6	11	16	7	26	4	9	6	62	0	269	2	2	0	13	65	0	16	4	9	5	2	88	7	2	1	1	3	0	22	4	13	7	36	16	141	5	1	7	1	6	4	0	6	0	22	1	9	5	2	111	7	9	4	8	12	2	1	6	2	3	1	29	70	63	18	4	25	17	7	1	5	0	3	3	3	13	10	2	24	0	16	0	2	3	0	0	6	2	8	2	0	16	8	8	23	17	15	25	8	21	9	5	8	1	0	4	5	6	0	6	0	5	16	2	0	3	0	2	6	4	3	53	101	23	19	12	15	2	0	10	4	12	6	10	15	13	7	22	8	13	9	5	5	12	8	5	0	7
Captain's Quarters	0	0	1	0	2	1	0	12	0	0	0	3	7	0	0	0	8	1	0	1	0	0	2	0	2	0	1	0	0	0	4	0	0	0	1	1	4	1	4	5	22	1	0	3	3	0	0	0	2	2	0	0	0	0	0	4	4	1	3	0	1	1	0	0	2	0	1	1	0	1	3	0	0	2	1	0	0	1	0	50	0	1	2	0	1	0	1	1	3	0	0	9	1	1	0	0	0	0	1	0	0	0	2	0	20	0	0	1	0	0	0	1	1	0	1	0	0	0	1	3	1	6	1	0	0	0	0	0	0	0	0	0	2	14	1	0	2	2	3	0	0	0	1	0	0	2	0	0	0	1	0	1	0	1	1	1	0	1	0	0	1	2	0	2	2	0	3	1	1	2	1	1	1	0	0	0	1	0	1	2	0	1	2	0	0	2	0	0	0	1	1	14	20	0	0	0	0	0	4	6	1	0	0	1	3	1	0	0	4	6	0	1	0	5	2	0	0	0
blog maverick	1	1	1	0	3	1	0	14	0	0	0	1	1	1	0	1	5	6	0	1	0	0	0	1	3	1	0	0	1	0	1	0	0	0	0	0	2	1	1	1	18	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	4	1	4	0	0	4	1	0	0	0	1	0	0	0	0	0	3	2	0	1	4	8	3	43	0	0	0	0	3	2	2	1	2	1	3	9	0	0	0	2	0	0	4	0	1	1	5	2	22	0	1	0	0	0	0	0	0	0	1	0	3	1	0	11	1	2	1	1	0	0	3	0	0	0	0	8	9	12	2	0	0	2	0	0	1	0	1	0	0	1	4	0	3	0	1	0	0	1	0	1	0	1	1	4	0	2	0	2	6	2	3	0	4	4	2	0	1	0	1	0	0	2	2	2	1	2	1	1	0	0	1	0	0	2	0	10	18	4	3	2	2	0	0	0	0	3	0	1	4	0	1	3	2	0	1	1	1	1	1	1	0	0
plasticbag.org	1	0	1	2	0	0	0	15	1	1	1	1	1	1	0	4	10	3	0	0	0	1	2	0	2	0	2	5	0	2	7	0	2	0	0	0	6	0	5	6	15	0	0	10	1	0	0	2	0	1	0	0	3	1	1	5	1	2	2	0	0	3	1	3	2	3	0	0	0	0	0	0	3	1	1	0	1	4	0	25	0	1	1	1	3	0	1	0	0	1	1	3	0	0	2	0	6	0	5	0	1	0	3	1	13	0	1	0	2	0	0	1	1	0	6	1	0	1	0	16	0	1	0	2	0	1	1	0	0	0	0	0	11	8	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	2	2	1	0	0	1	1	3	2	4	1	0	3	2	0	0	0	1	0	1	1	1	2	0	0	0	2	0	0	0	1	0	0	2	11	18	1	2	6	0	0	1	1	0	4	0	0	2	1	1	0	1	0	3	1	0	2	0	2	0	1
Autoblog	1	0	4	1	1	3	2	22	3	3	0	0	3	1	1	0	57	2	1	1	0	0	1	0	1	0	4	0	1	0	30	3	0	2	2	0	5	2	0	10	25	0	0	3	7	0	0	1	2	6	0	39	1	0	0	7	0	11	1	9	4	48	1	0	0	1	0	0	1	1	9	0	0	0	0	0	0	1	0	25	0	0	0	0	2	2	2	0	1	3	0	10	1	0	0	4	1	0	7	0	1	1	5	0	48	0	0	0	3	0	0	0	3	0	2	0	3	4	0	4	0	2	0	13	0	1	2	0	1	39	1	7	9	22	0	1	0	0	0	3	6	3	0	0	1	0	2	1	0	0	0	0	0	0	0	2	5	0	0	3	0	1	2	1	1	8	0	4	0	2	0	0	0	4	1	1	0	0	3	0	0	3	0	2	3	0	0	0	3	1	0	94	56	2	1	0	1	0	0	0	0	4	0	39	7	0	1	40	0	1	0	0	0	7	4	1	0	3
Gawker	2	0	2	2	1	2	0	29	6	0	0	2	7	1	0	1	10	0	0	0	2	2	1	1	5	1	1	1	1	2	25	2	1	0	1	4	5	4	4	14	37	2	0	28	0	1	3	1	1	0	2	2	3	0	2	4	2	3	3	0	1	6	0	5	1	1	2	3	0	0	2	2	5	2	1	1	1	5	2	52	1	3	1	0	5	0	3	1	3	1	0	16	1	0	1	4	25	1	7	1	2	0	8	2	38	0	2	1	2	0	0	0	0	2	4	0	2	0	6	3	1	10	0	12	2	2	2	0	4	0	1	14	13	27	0	0	1	0	0	0	1	2	0	2	1	0	0	0	4	1	3	4	0	1	0	1	3	0	1	0	1	0	1	4	7	3	8	6	3	2	1	0	0	0	0	0	0	1	9	3	14	2	2	0	1	4	18	2	2	3	0	10	33	4	2	7	4	0	0	9	3	3	3	1	3	2	1	4	1	4	1	5	0	4	1	0	2	1
Google Blogoscoped	2	2	5	5	1	4	1	40	4	0	1	3	1	1	0	3	16	4	0	2	0	7	1	0	13	0	1	2	1	0	15	0	0	2	1	0	6	5	12	7	36	2	2	4	1	2	0	5	2	3	1	4	0	0	2	4	4	3	1	0	1	7	2	1	0	4	4	0	0	1	0	3	4	7	2	6	3	12	0	71	0	2	0	1	6	1	10	0	5	4	0	13	2	0	1	0	2	0	11	0	8	0	36	1	43	0	2	0	0	2	2	1	1	2	3	0	1	2	0	18	2	2	4	8	0	0	4	2	2	0	0	10	14	23	8	3	1	4	1	0	1	0	0	1	0	2	1	0	1	1	5	0	3	1	0	0	3	1	3	3	0	3	6	3	5	6	9	10	11	7	1	3	0	2	0	1	2	1	1	4	0	6	4	0	1	1	0	3	0	0	1	17	34	7	5	5	6	0	0	1	0	6	5	3	7	1	2	3	2	4	5	5	0	1	4	2	0	2
